descriptor,item
I'd like a refreshing coffee with a hint of rose syrup and a drizzle of chocolate sauce.,Iced Coffee
"I'll have a Quarter Pounder, please.",Quarter Pounder
Can I get a Quarter Pounder with cheese?,Quarter Pounder
May I have a Quarter Pounder with extra pickles?,Quarter Pounder
"One Quarter Pounder, no onions, please.",Quarter Pounder
I'd like a Quarter Pounder with ketchup and mustard.,Quarter Pounder
Can I get a Quarter Pounder with bacon?,Quarter Pounder
May I have a Quarter Pounder with extra tomatoes?,Quarter Pounder
"One Quarter Pounder with lettuce and onions, please.",Quarter Pounder
I'd like a Quarter Pounder with grilled onions.,Quarter Pounder
Can I get a Quarter Pounder with no cheese?,Quarter Pounder
May I have a Quarter Pounder with barbecue sauce?,Quarter Pounder
"One Quarter Pounder with extra cheese, please.",Quarter Pounder
I'd like a Quarter Pounder with bacon and onions.,Quarter Pounder
Can I get a Quarter Pounder with no pickles?,Quarter Pounder
May I have a Quarter Pounder with ketchup only?,Quarter Pounder
"One Quarter Pounder with extra mustard, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and bacon.,Quarter Pounder
Can I get a Quarter Pounder with no onions or lettuce?,Quarter Pounder
May I have a Quarter Pounder with extra ketchup?,Quarter Pounder
"One Quarter Pounder with onions and pickles, please.",Quarter Pounder
I'd like a Quarter Pounder with barbecue sauce and cheese.,Quarter Pounder
Can I get a Quarter Pounder with extra onions?,Quarter Pounder
May I have a Quarter Pounder with lettuce only?,Quarter Pounder
"One Quarter Pounder with cheese and pickles, please.",Quarter Pounder
I'd like a Quarter Pounder with bacon and barbecue sauce.,Quarter Pounder
Can I get a Quarter Pounder with no tomatoes?,Quarter Pounder
May I have a Quarter Pounder with extra mustard and ketchup?,Quarter Pounder
"One Quarter Pounder with onions and barbecue sauce, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and grilled onions.,Quarter Pounder
Can I get a Quarter Pounder with no bacon?,Quarter Pounder
May I have a Quarter Pounder with ketchup and pickles?,Quarter Pounder
"One Quarter Pounder with extra bacon, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and no onions.,Quarter Pounder
Can I get a Quarter Pounder with no lettuce or tomato?,Quarter Pounder
May I have a Quarter Pounder with mustard and grilled onions?,Quarter Pounder
"One Quarter Pounder with bacon and no pickles, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and extra ketchup.,Quarter Pounder
Can I get a Quarter Pounder with no mustard?,Quarter Pounder
May I have a Quarter Pounder with extra pickles and onions?,Quarter Pounder
"One Quarter Pounder with ketchup and grilled onions, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and barbecue sauce.,Quarter Pounder
Can I get a Quarter Pounder with no bacon or cheese?,Quarter Pounder
May I have a Quarter Pounder with extra tomato and lettuce?,Quarter Pounder
"One Quarter Pounder with mustard and pickles, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and no pickles.,Quarter Pounder
Can I get a Quarter Pounder with no ketchup?,Quarter Pounder
May I have a Quarter Pounder with extra cheese and bacon?,Quarter Pounder
"One Quarter Pounder with barbecue sauce and no onions, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and no tomatoes.,Quarter Pounder
Can I get a Quarter Pounder with no mustard or onions?,Quarter Pounder
May I have a Quarter Pounder with extra pickles and barbecue sauce?,Quarter Pounder
"One Quarter Pounder with ketchup and no onions, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and extra bacon.,Quarter Pounder
Can I get a Quarter Pounder with no pickles or lettuce?,Quarter Pounder
May I have a Quarter Pounder with extra onions and bacon?,Quarter Pounder
"One Quarter Pounder with mustard and no pickles, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and grilled onions only.,Quarter Pounder
Can I get a Quarter Pounder with no ketchup or mustard?,Quarter Pounder
May I have a Quarter Pounder with extra pickles and no onions?,Quarter Pounder
"One Quarter Pounder with barbecue sauce and grilled onions, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and no tomatoes or pickles.,Quarter Pounder
Can I get a Quarter Pounder with no bacon or ketchup?,Quarter Pounder
May I have a Quarter Pounder with extra mustard and no pickles?,Quarter Pounder
"One Quarter Pounder with onions and no ketchup, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and extra barbecue sauce.,Quarter Pounder
Can I get a Quarter Pounder with no onions or mustard?,Quarter Pounder
May I have a Quarter Pounder with extra pickles and cheese?,Quarter Pounder
"One Quarter Pounder with ketchup and no tomatoes, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and no mustard.,Quarter Pounder
Can I get a Quarter Pounder with no pickles or bacon?,Quarter Pounder
May I have a Quarter Pounder with extra onions and no lettuce?,Quarter Pounder
"One Quarter Pounder with mustard and no tomatoes, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and no barbecue sauce.,Quarter Pounder
Can I get a Quarter Pounder with no onions or cheese?,Quarter Pounder
May I have a Quarter Pounder with extra pickles and no bacon?,Quarter Pounder
"One Quarter Pounder with ketchup and no cheese, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and no mustard or pickles.,Quarter Pounder
Can I get a Quarter Pounder with no onions or barbecue sauce?,Quarter Pounder
May I have a Quarter Pounder with extra tomatoes and no lettuce?,Quarter Pounder
"One Quarter Pounder with mustard and no barbecue sauce, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and no pickles or ketchup.,Quarter Pounder
Can I get a Quarter Pounder with no tomatoes or onions?,Quarter Pounder
May I have a Quarter Pounder with extra bacon and no cheese?,Quarter Pounder
"One Quarter Pounder with ketchup and no pickles or mustard, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and no onions or barbecue sauce.,Quarter Pounder
Can I get a Quarter Pounder with no bacon or pickles?,Quarter Pounder
May I have a Quarter Pounder with extra mustard and no cheese?,Quarter Pounder
"One Quarter Pounder with onions and no ketchup or pickles, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and no tomatoes or barbecue sauce.,Quarter Pounder
Can I get a Quarter Pounder with no pickles or ketchup?,Quarter Pounder
May I have a Quarter Pounder with extra onions and no mustard?,Quarter Pounder
"One Quarter Pounder with barbecue sauce and no cheese, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and no onions or mustard.,Quarter Pounder
Can I get a Quarter Pounder with no bacon or onions?,Quarter Pounder
May I have a Quarter Pounder with extra pickles and no ketchup?,Quarter Pounder
"One Quarter Pounder with ketchup and no mustard or pickles, please.",Quarter Pounder
I'd like a Quarter Pounder with cheese and no barbecue sauce or pickles.,Quarter Pounder
Can I get a Quarter Pounder with no onions or cheese?,Quarter Pounder
May I have a Quarter Pounder with extra bacon and no mustard?,Quarter Pounder
"One Quarter Pounder with barbecue sauce and no onions or cheese, please.",Quarter Pounder
"I'll have the classic beef burger, please.",Quarter Pounder
Can I get the one with the four oz. patty and cheese?,Quarter Pounder
"May I have the quarter-pound beef sandwich, no onions?",Quarter Pounder
"One of the signature burgers, please.",Quarter Pounder
"I'd like the classic quarter-pound burger, with ketchup and mustard.",Quarter Pounder
Can I get the four-ounce beef patty with cheese and bacon?,Quarter Pounder
"May I have the regular burger, but hold the onions, please.",Quarter Pounder
"One of the quarter-pound beef sandwiches, with lettuce and tomato.",Quarter Pounder
I'd like the classic burger with cheese and onions.,Quarter Pounder
"Can I get the four oz. beef patty, plain?",Quarter Pounder
"May I have the signature quarter-pounder, with ketchup only?",Quarter Pounder
"One regular beef burger, no onions, please.",Quarter Pounder
"I'd like the quarter-pound sandwich, with bacon and onions.",Quarter Pounder
Can I get the classic four-ounce burger with no pickles?,Quarter Pounder
"May I have the special quarter-pounder, with lettuce and tomato?",Quarter Pounder
"One of the signature beef sandwiches, no onions, please.",Quarter Pounder
"I'd like the classic burger, add cheese and bacon.",Quarter Pounder
Can I get the four-ounce beef patty with ketchup and mustard?,Quarter Pounder
"May I have the regular quarter-pounder, with extra onions?",Quarter Pounder
"One of the quarter-pound burgers, with lettuce and tomato.",Quarter Pounder
"I'd like the classic beef sandwich, hold the onions.",Quarter Pounder
Can I get the four oz. patty with cheese and no pickles?,Quarter Pounder
"May I have the special quarter-pound burger, with ketchup and mustard?",Quarter Pounder
"One regular burger, no onions, please.",Quarter Pounder
I'd like the quarter-pounder with cheese and bacon.,Quarter Pounder
"Can I get the classic beef patty, with no pickles?",Quarter Pounder
"May I have the signature four-ounce burger, with ketchup only?",Quarter Pounder
"One of the quarter-pound sandwiches, no onions, please.",Quarter Pounder
I'd like the classic burger with extra cheese and onions.,Quarter Pounder
"Can I get the four oz. beef patty, with bacon and onions?",Quarter Pounder
"May I have the regular quarter-pound sandwich, with lettuce and tomato?",Quarter Pounder
"One of the classic beef burgers, no onions, please.",Quarter Pounder
"I'd like the quarter-pounder, with cheese and ketchup.",Quarter Pounder
Can I get the four-ounce burger with no pickles or onions?,Quarter Pounder
"May I have the special quarter-pounder, with lettuce and tomato?",Quarter Pounder
"One regular beef sandwich, no onions, please.",Quarter Pounder
"I'd like the quarter-pounder, with bacon and no pickles.",Quarter Pounder
"Can I get the four oz. beef patty, with ketchup only?",Quarter Pounder
"May I have the classic quarter-pound burger, with extra onions?",Quarter Pounder
"One of the special beef sandwiches, with lettuce and tomato.",Quarter Pounder
"I'd like the classic burger, add cheese and bacon.",Quarter Pounder
"Can I get the four-ounce beef patty, with no mustard?",Quarter Pounder
"May I have the regular quarter-pounder, with extra pickles?",Quarter Pounder
"One of the quarter-pound burgers, with lettuce and tomato.",Quarter Pounder
"I'd like the classic beef sandwich, with no mustard.",Quarter Pounder
Can I get the four oz. patty with cheese and no mustard?,Quarter Pounder
"May I have the signature quarter-pounder, with ketchup and bacon?",Quarter Pounder
"One regular burger, with no onions, please.",Quarter Pounder
"I'd like the quarter-pounder, with cheese and extra onions.",Quarter Pounder
Can I get the four-ounce burger with no pickles or bacon?,Quarter Pounder
"May I have the classic beef patty, with ketchup and mustard?",Quarter Pounder
"One of the quarter-pound sandwiches, with lettuce and no tomato, please.",Quarter Pounder
"I'd like the classic burger, with no onions or pickles.",Quarter Pounder
"Can I get the four oz. beef patty, with no onions or mustard?",Quarter Pounder
"May I have the special quarter-pounder, with bacon and ketchup?",Quarter Pounder
"One regular beef burger, with no pickles, please.",Quarter Pounder
"I'd like the quarter-pound sandwich, with extra onions and bacon.",Quarter Pounder
"Can I get the classic four-ounce burger, with no tomato?",Quarter Pounder
"May I have the signature quarter-pounder, with extra mustard?",Quarter Pounder
"One of the regular beef sandwiches, with no onions, please.",Quarter Pounder
"I'd like the quarter-pounder, with cheese and ketchup only.",Quarter Pounder
Can I get the four-ounce burger with no pickles or mustard?,Quarter Pounder
"May I have the classic beef patty, with ketchup and bacon?",Quarter Pounder
"One of the quarter-pound burgers, with lettuce and no onions, please.",Quarter Pounder
"I'd like the classic burger, with extra cheese and bacon.",Quarter Pounder
"Can I get the four oz. beef patty, with no onions or pickles?",Quarter Pounder
"May I have the special quarter-pounder, with extra ketchup?",Quarter Pounder
"One regular burger, with no mustard, please.",Quarter Pounder
"I'd like the quarter-pound sandwich, with bacon and no pickles.",Quarter Pounder
"Can I get the classic four-ounce burger, with no tomato or onions?",Quarter Pounder
"May I have the signature quarter-pounder, with extra bacon?",Quarter Pounder
"One of the regular beef sandwiches, with no pickles, please.",Quarter Pounder
"I'd like the quarter-pounder, with cheese and mustard only.",Quarter Pounder
Can I get the four oz. burger with no onions or bacon?,Quarter Pounder
"May I have the classic beef patty, with ketchup and no mustard?",Quarter Pounder
"One of the quarter-pound burgers, with lettuce and no pickles, please.",Quarter Pounder
"I'd like the classic burger, with extra onions and bacon.",Quarter Pounder
"Can I get the four-ounce beef patty, with no pickles or cheese?",Quarter Pounder
"May I have the special quarter-pounder, with extra mustard?",Quarter Pounder
"One regular beef burger, with no bacon, please.",Quarter Pounder
"I'd like the quarter-pound sandwich, with extra onions and no mustard.",Quarter Pounder
"Can I get the classic four-ounce burger, with no onions or ketchup?",Quarter Pounder
"May I have the signature quarter-pounder, with extra ketchup and bacon?",Quarter Pounder
"One of the regular beef sandwiches, with no mustard, please.",Quarter Pounder
"I'd like the quarter-pounder, with cheese and no bacon.",Quarter Pounder
Can I get the four oz. burger with no onions or mustard?,Quarter Pounder
"May I have the classic beef patty, with ketchup and no pickles?",Quarter Pounder
"One of the quarter-pound burgers, with lettuce and no mustard, please.",Quarter Pounder
"I'd like the classic burger, with extra cheese and no onions.",Quarter Pounder
"Can I get the four-ounce beef patty, with no pickles or tomato?",Quarter Pounder
"May I have the special quarter-pounder, with extra bacon and ketchup?",Quarter Pounder
"One regular beef sandwich, with no mustard, please.",Quarter Pounder
"I'd like the quarter-pound sandwich, with extra onions and ketchup only.",Quarter Pounder
"Can I get the classic four-ounce burger, with no onions or pickles?",Quarter Pounder
"May I have the signature quarter-pounder, with extra mustard and bacon?",Quarter Pounder
"One of the regular beef burgers, with no pickles, please.",Quarter Pounder
"I'd like the quarter-pounder, with cheese and extra pickles.",Quarter Pounder
Can I get the four oz. burger with no onions or ketchup?,Quarter Pounder
"May I have the classic beef patty, with ketchup and no bacon?",Quarter Pounder
"One of the quarter-pound sandwiches, with lettuce and no ketchup, please.",Quarter Pounder
"I'll have a six-piece Chicken McNugget, please.",Chicken McNuggets
Can I get a ten-piece Chicken McNugget with sweet and sour sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget, no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with barbecue sauce, please.",Chicken McNuggets
I'd like a six-piece Chicken McNugget with honey mustard sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with no dipping sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with spicy buffalo sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, extra ketchup, please.",Chicken McNuggets
I'll take a six-piece Chicken McNugget with tangy barbecue sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with creamy ranch sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet chili sauce, please.",Chicken McNuggets
I'd like a six-piece Chicken McNugget with honey sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with hot mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with spicy buffalo sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, extra honey mustard, please.",Chicken McNuggets
I'll take a six-piece Chicken McNugget with tangy barbecue sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with creamy ranch sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet chili sauce, please.",Chicken McNuggets
I'd like a six-piece Chicken McNugget with honey sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with hot mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet and sour sauce, please.",Chicken McNuggets
I'll take a six-piece Chicken McNugget with spicy buffalo sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with honey mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, extra barbecue sauce, please.",Chicken McNuggets
I'd like a six-piece Chicken McNugget with tangy barbecue sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with creamy ranch sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet chili sauce, please.",Chicken McNuggets
I'll take a six-piece Chicken McNugget with honey sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with hot mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet and sour sauce, please.",Chicken McNuggets
I'd like a six-piece Chicken McNugget with spicy buffalo sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with honey mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, extra barbecue sauce, please.",Chicken McNuggets
